punto;cod_pto;usos
TABUA (PT);TABUA;3
ARCHELA CONTRACHAPADOS,SL;ARCHE;3
PADRON;PADRO;3
BERANTEVILLA;BER;2
CHIVA;CHIVA;2
ALCOBENDAS;ALCOB;2
PATERNA;PATER;2
TUDELA;TUDEL;2
VALENCIA;V;2
LLIRIA;LLIRI;2
VITORIA;VI;2
ARTEIXO;ARTEI;2
VILLATUERTA;TUERT;2
CORDOBA;CO;2
LUSO FINSA;LUSO;2
ALCANENA(PT);ALCAN;2
CARREGADO;CARRE;2
VALGA;VALGA;2
OLIVEIRA FRADES(PT);FRAD;2
TABOADA (LU);TABOA;2
SELENA IBERIA, SLU;SELEN;2
SEIXO DE MIRA(PT);SEIXO;2
MONFORTE LEMOS;MOFOR;2
REKAR IBERICA, S.A.;REKAR;2
ALMEIRIN (PT);ALMEI;2
ARNEDO;ARNED;2
LUGO;LU;2
CALAHORRA;CALAH;2
TORRES NOVAS;TORRE;2
CUNTIS;CUNTI;2
CONTRACHAPADOS INDUSTRIALES, S.L.;CONTR;2
ZAMORA;ZA;2
GARNICA PLYWOOD;GARNI;2
CASTELLBISBAL;BISBA;1
BASAURI;BASAU;1
BARBASTRO;BARBA;1
PIEVE FISSIRAGA(IT);PIEVE;1
ALVERCA;ALVER;1
RENTERIA;RENT;1
LAVERA;LAVER;1
CONSTANCIA(PT);CONST;1
MERIDA;MERID;1
STA.IRIA AZOIA(PT);IRIA;1
MANGUALDE(PT);MANGU;1
LAVRADIO (PT);LAVRA;1
OROZKO;OROZK;1
GUALBA;GUALB;1
VILANOVA AROUSA;VILAN;1
LANTARON;LANTA;1
TORRELAVEGA;TOR;1
BAKELITE IBERICA, SAU;BAKEL;1
MOSTOLES;MOSTO;1
TUI;TUI;1
PAREDES (PT);PARED;1
HUESCA;HU;1
VERIN;VERIN;1
SEGOVIA;SG;1
ONTIGOLA;ONTIG;1
MATOSINHOS (PT);MATOS;1
VILANOVA CERVEIRA(PT);CERV;1
TABLEROS GARFER, S.A.;GARFE;1
TARRASA;TARRA;1
ITALIA;IT;1
IGUALADA;IGUAL;1
LICEMA,SA;LICEM;1
NARON;NARON;1
PAMPLONA;PA;1
PAIO PIRES (PT);PAIO;1
ENCE;ENCE;1
ALCOVER;ALCOV;1
BETANZOS;BET;1
ADIEGO HERMANOS, S.A.;ADIEG;1
SESEÑA;SESE;1
SINDE (PT);SINDE;1
BRENNTAG QUIMICA,SA;BRENT;1
ST.PAUL (FR);PAUL;1
SALAMANCA;SA;1
MELIDE;MELID;1
PURIPLAST IBERICA,SA;PURIP;1
TACON DECOR, SL;TACON;1
CARBALLO;CARBA;1
EVORA (PT);EVORA;1
PINTO;PINTO;1
VENDAS NOVAS(PT);VENDA;1
OVIEDO;O;1
SIGUEIRO;SIGUE;1
SAMORACORREIA(PT);SAMOR;1
PONFERRADA;PONFE;1
CASARRUBIOS;CASAR;1
LLANERA;LLANE;1
RIO DE MOURO(PT);RIO;1
SONDIKA;SONDI;1
AZPEITIA;AZPEI;1
VIANA DO CASTELO;VIANA;1
MADERAS BENIGANIM, SAL;BENIG;1
IGORRE;IGORR;1
VOLCALIS-ISOLAM.MINERAIS,SA;VOCAL;1
RIBADUMIA;RIB;1
COLAS ARTIACH, SL;ARTIA;1
GALDACANO;CANO;1
LLODIO;LLODI;1
JAEN;J;1
LEZO;LEZO;1
POLANCO;POLAN;1
